label	sub_label	user	file_id	acc_magnitude_kurtosis	acc_magnitude_rms	acc_magnitude_sma	acc_magnitude_std	acc_magnitude_wl	acc_magnitude_zcr	acc_x_kurtosis	acc_x_rms	acc_x_sma	acc_x_std	acc_x_wl	acc_x_zcr	acc_y_kurtosis	acc_y_rms	acc_y_sma	acc_y_std	acc_y_wl	acc_y_zcr	acc_z_kurtosis	acc_z_rms	acc_z_sma	acc_z_std	acc_z_wl	acc_z_zcr	gyro_magnitude_kurtosis	gyro_magnitude_rms	gyro_magnitude_sma	gyro_magnitude_std	gyro_magnitude_wl	gyro_magnitude_zcr	gyro_x_kurtosis	gyro_x_rms	gyro_x_sma	gyro_x_std	gyro_x_wl	gyro_x_zcr	gyro_y_kurtosis	gyro_y_rms	gyro_y_sma	gyro_y_std	gyro_y_wl	gyro_y_zcr	gyro_z_kurtosis	gyro_z_rms	gyro_z_sma	gyro_z_std	gyro_z_wl	gyro_z_zcr
random	999	113	113_999_260409230320455	-0.037647724	14.731171	951.406	6.119247	180.88124	0.0	-0.9957094	12.166103	655.2941	11.4623575	219.31535	0.112676054	3.2335553	6.646414	426.98	4.367561	121.127686	0.112676054	0.06750727	4.9818153	300.79752	4.5194855	160.21445	0.16901408	-1.1077659	6.1509743	356.57166	3.5514278	85.11172	0.0	-0.61091137	2.1334548	121.01155	2.1062617	48.34873	0.112676054	1.737401	2.6907668	129.13698	2.6106484	67.18794	0.15492958	-0.19770312	5.1031976	262.3212	5.101241	94.54888	0.112676054
random	999	113	113_999_260409230332772	-0.13114977	15.854019	1147.9813	6.7404733	255.79822	0.0	-0.8514428	13.599786	825.85394	13.253324	309.77905	0.125	0.23793244	7.1187234	515.1771	5.3927536	166.2868	0.125	1.6053839	3.9647853	264.35184	3.1427743	155.12912	0.225	-1.0108461	6.1012077	385.68384	3.7392836	102.45912	0.0	-0.6987705	1.6705596	104.164955	1.6391209	42.654102	0.125	0.08716345	1.5944905	96.21595	1.5122004	45.336395	0.125	-0.26576567	5.647262	326.85196	5.633507	118.886086	0.0875
random	999	113	113_999_260409230336829	0.8758638	14.609086	1122.5913	6.245141	232.12204	0.0	-0.66751194	12.168305	772.06555	11.860329	281.7501	0.105882354	1.7968926	7.2135053	553.67346	4.765764	140.10576	0.09411765	0.23513985	3.650079	277.65292	2.9402328	120.705345	0.14117648	-0.6485064	5.5503645	365.97644	3.5026155	91.68629	0.0	-0.0076258183	1.4392029	91.338615	1.4308966	33.907417	0.105882354	1.7705703	1.2035244	71.67477	1.1343757	41.137615	0.1882353	-0.13312316	5.2236743	319.5828	5.2156315	107.25592	0.105882354
random	999	113	113_999_260409230352302	0.58943343	16.3665	1130.8096	7.224163	242.40549	0.0	-0.882169	14.020581	844.4164	13.409071	298.07266	0.12987013	2.8253398	6.688945	442.6094	5.5934935	164.21045	0.12987013	2.7952857	5.1520553	342.72458	4.561537	144.5139	0.103896104	-0.7962246	6.3283796	396.34766	3.6814327	107.558495	0.0	0.5001886	2.217395	126.40123	2.2003253	46.897003	0.077922076	1.3871341	1.3294861	76.28725	1.318802	40.04845	0.116883114	-0.508193	5.776159	339.56464	5.7708426	122.18272	0.09090909
random	999	113	113_999_260409230356298	0.38199902	15.494474	1097.4191	6.4906607	189.2834	0.0	-0.884377	13.084617	781.5433	12.354668	244.35443	0.115384616	2.5482306	7.274389	516.16174	5.6061497	168.19748	0.12820514	0.44648695	3.9943478	264.82208	3.6857095	148.31732	0.15384616	-0.63091254	5.9626365	362.1468	3.7411802	100.49125	0.0	-0.18222642	1.9752953	119.594025	1.9578975	48.99304	0.115384616	0.045669794	1.0554093	66.71193	0.98154896	33.60611	0.14102565	-0.15608335	5.526061	319.53995	5.5116887	111.50177	0.08974359
random	999	113	113_999_260409230406768	-0.38541365	14.054249	1101.1298	5.795141	186.65105	0.0	-0.82570887	11.561285	754.4204	10.768514	226.1265	0.058139537	0.6899977	6.979476	555.0696	4.3668585	131.38754	0.093023255	-0.5412197	3.8917232	291.34528	3.7263763	117.75978	0.13953489	-0.9799175	5.398109	356.26614	3.4609532	85.27379	0.0	-0.35781336	1.9435556	125.03135	1.9272784	42.836124	0.093023255	0.4711635	1.2900392	87.61587	1.2027918	34.542873	0.10465116	-0.13712859	4.8680563	300.23245	4.8618364	98.13344	0.093023255
random	999	113	113_999_260409230411827	2.325688	14.3848915	924.33405	5.7060566	161.23074	0.0	-0.23415732	11.685203	582.55194	11.565013	212.5885	0.15714286	2.2280517	7.213713	466.467	4.9920697	123.886604	0.08571429	0.6022651	4.2829285	250.2265	2.7457905	84.66644	0.14285715	0.11449599	5.4696226	302.04367	3.361299	69.02436	0.0	-0.22440743	1.4685066	78.81272	1.3996729	23.151468	0.071428575	-0.267977	1.8339617	104.66661	1.7927753	41.008266	0.071428575	0.65225244	4.939316	239.77898	4.938591	86.80233	0.08571429
random	999	113	113_999_260409230417781	0.055251837	15.320794	872.5753	6.5492864	141.14398	0.0	-0.903697	12.806736	578.49365	12.226333	187.18214	0.1904762	1.5141726	7.4010754	426.09476	5.722028	129.99666	0.12698413	1.8328476	3.9922845	207.39967	3.8404372	103.12225	0.12698413	-1.02213	5.8957653	271.108	4.030092	74.25261	0.0	0.10710096	1.9155505	87.40163	1.9044335	32.928818	0.12698413	1.1470017	1.2820733	58.200916	1.24538	26.470905	0.11111111	0.030631065	5.4265094	234.17245	5.42131	85.50108	0.11111111
random	999	113	113_999_260409230422160	1.5159917	15.168153	870.96985	6.2405496	130.07788	0.0	-0.5013702	12.467542	570.51776	12.126049	178.10019	0.12698413	5.5721207	7.594186	429.5302	5.786229	131.31331	0.0952381	0.5556729	4.1184464	232.33112	3.484514	83.55377	0.12698413	0.13058066	5.7544765	272.08707	3.80284	74.20122	0.0	-0.76534104	1.9266666	95.84699	1.8988293	28.017769	0.04761905	-0.6506944	1.4877837	74.51833	1.3915148	28.853434	0.0952381	0.53412175	5.2142553	220.85648	5.188096	81.394485	0.12698413
random	999	113	113_999_260409230429913	-0.4132285	14.773624	1133.1144	6.024495	192.38132	0.0	-0.80875635	12.012589	747.4066	11.64579	239.8457	0.071428575	0.6183946	7.209537	562.9338	4.7258387	148.30295	0.11904762	0.24213219	4.6883116	327.70303	4.159695	151.68407	0.1904762	-1.0272862	5.5387354	357.3805	3.5463462	95.98064	0.0	-0.45599532	2.1521788	137.20804	2.135501	49.191708	0.11904762	1.5144768	1.5523129	98.79838	1.4902768	46.788414	0.16666667	-0.06669474	4.8616915	290.58463	4.8590016	108.96222	0.11904762
random	999	113	113_999_260409230433386	0.119417906	15.660515	1101.4663	6.3738203	201.82964	0.0	-1.0858384	13.201781	789.03253	12.346467	245.8697	0.09090909	0.3390429	6.538693	466.74878	5.2802877	175.80186	0.12987013	0.081582546	5.3113275	335.27512	5.11113	140.3923	0.103896104	-1.1013885	6.285928	391.733	3.691994	107.27151	0.0	-0.8204975	2.526035	159.00403	2.5250394	49.17064	0.103896104	0.09762406	1.6602386	98.021355	1.6414785	39.016853	0.15584415	-0.3734436	5.51141	316.0812	5.5025826	112.83881	0.116883114
random	999	113	113_999_260409230436211	0.055408955	14.989913	1209.5687	6.3238816	209.0414	0.0	-0.98683476	12.506211	854.8412	11.597878	244.4382	0.06741573	1.8079062	6.175162	501.1198	4.8145614	150.08086	0.11235955	0.77498245	5.4917717	414.1335	5.221413	163.25813	0.11235955	-0.7386627	6.0158243	443.0616	3.3774965	99.7803	0.0	-0.5684912	2.6731207	186.87546	2.6176949	57.25391	0.07865169	-0.5646448	1.8503555	136.01576	1.8484681	43.559387	0.08988764	-0.061652184	5.0616946	342.43268	5.060411	115.84547	0.06741573
random	999	113	113_999_260409230441763	1.118309	13.678885	1137.5563	5.2301645	210.81927	0.0	-0.4229548	10.624732	681.19025	10.352118	268.62598	0.13333334	2.7549534	7.1893225	602.07245	4.0298824	136.8617	0.08888889	1.0674882	4.7476935	390.02115	2.9241912	121.42079	0.11111111	-0.304286	4.9640136	344.61008	3.1591444	78.51433	0.0	-0.46656108	1.4453802	95.96976	1.3735225	36.179996	0.08888889	-0.21747088	1.8235613	124.043594	1.8141258	51.981987	0.11111111	0.5398524	4.3848524	272.199	4.3848295	106.66354	0.13333334
random	999	113	113_999_260409230444260	-0.47084832	15.997036	1121.6581	6.611203	181.55278	0.0	-0.93979454	13.432828	802.723	12.418893	255.64919	0.064935066	2.9794793	6.694154	462.118	5.6925254	168.39668	0.12987013	-0.32073236	5.5364795	374.56583	5.406702	149.42636	0.12987013	-0.5193045	6.2140884	379.60645	3.7829156	96.21228	0.0	-0.4234166	2.5640101	152.04137	2.5198095	54.311077	0.09090909	-0.53886414	1.5661912	97.23794	1.531974	37.40324	0.09090909	0.09163165	5.4394665	305.97937	5.4271235	115.022934	0.103896104
shake	10201	114	114_10201_260411000435550	0.61608815	18.061745	925.77783	8.945075	201.74632	0.0	0.5494869	13.905564	581.11383	13.872784	222.87169	0.084745765	0.19020677	8.387013	440.89667	6.3526483	92.64291	0.06779661	1.7981791	7.906952	398.65924	4.83332	88.40284	0.06779661	-0.6417198	2.7976148	121.81787	1.8877561	32.36401	0.0	1.920784	1.1269255	44.64476	1.1218199	19.522938	0.13559322	1.9135904	0.9513033	38.706375	0.9460017	23.782034	0.15254237	0.34941912	2.3773327	98.25929	2.3742204	35.4975	0.084745765
