label	sub_label	user	file_id	acc_magnitude_band1_energy	acc_magnitude_band2_energy	acc_magnitude_band3_energy	acc_magnitude_band4_energy	acc_magnitude_spectral_bandwidth	acc_magnitude_spectral_centroid	acc_magnitude_spectral_entropy	acc_magnitude_total_energy	acc_x_band1_energy	acc_x_band2_energy	acc_x_band3_energy	acc_x_band4_energy	acc_x_spectral_bandwidth	acc_x_spectral_centroid	acc_x_spectral_entropy	acc_x_total_energy	acc_y_band1_energy	acc_y_band2_energy	acc_y_band3_energy	acc_y_band4_energy	acc_y_spectral_bandwidth	acc_y_spectral_centroid	acc_y_spectral_entropy	acc_y_total_energy	acc_z_band1_energy	acc_z_band2_energy	acc_z_band3_energy	acc_z_band4_energy	acc_z_spectral_bandwidth	acc_z_spectral_centroid	acc_z_spectral_entropy	acc_z_total_energy	gyro_magnitude_band1_energy	gyro_magnitude_band2_energy	gyro_magnitude_band3_energy	gyro_magnitude_band4_energy	gyro_magnitude_spectral_bandwidth	gyro_magnitude_spectral_centroid	gyro_magnitude_spectral_entropy	gyro_magnitude_total_energy	gyro_x_band1_energy	gyro_x_band2_energy	gyro_x_band3_energy	gyro_x_band4_energy	gyro_x_spectral_bandwidth	gyro_x_spectral_centroid	gyro_x_spectral_entropy	gyro_x_total_energy	gyro_y_band1_energy	gyro_y_band2_energy	gyro_y_band3_energy	gyro_y_band4_energy	gyro_y_spectral_bandwidth	gyro_y_spectral_centroid	gyro_y_spectral_entropy	gyro_y_total_energy	gyro_z_band1_energy	gyro_z_band2_energy	gyro_z_band3_energy	gyro_z_band4_energy	gyro_z_spectral_bandwidth	gyro_z_spectral_centroid	gyro_z_spectral_entropy	gyro_z_total_energy
random	999	112	112_999_260409215412668	0.3812117	0.45346808	0.14556138	0.019758604	2.2932181	3.270115	5.238183	0.9999996	0.40135056	0.56316286	0.03092639	0.0045601004	1.2908578	2.5157242	4.678386	0.99999994	0.55411404	0.3983739	0.04514183	0.002370201	1.2591058	2.1640918	4.6084137	1.0000001	0.28575432	0.61809015	0.0874956	0.008659827	1.7698048	3.1366158	5.212416	1.0000001	0.404993	0.4729998	0.11585887	0.0061483732	2.0485585	2.9426668	5.2191873	1.0000001	0.2801578	0.6149051	0.1010086	0.0039283624	1.5973475	3.2453516	5.232084	0.9999999	0.44577622	0.5139605	0.03384481	0.006418514	1.4479481	2.569986	4.659321	1.0000001	0.50379777	0.4810803	0.014029124	0.0010928276	0.9251372	2.243961	4.3572392	1.0000002
random	999	112	112_999_260409215415542	0.49321598	0.36834198	0.12885587	0.009586352	1.9841444	2.8172703	5.115764	1.0000004	0.67497826	0.22196935	0.089534536	0.013517938	1.9780324	2.413424	4.81986	1.0000001	0.46293285	0.38522106	0.12285591	0.028990343	2.5318692	2.7889128	5.230671	1.0	0.59054476	0.30484384	0.091654345	0.012957016	1.8069577	2.5551236	4.624002	0.9999998	0.33531812	0.5435929	0.112000875	0.009088019	2.1494586	3.0003698	5.1199026	1.0	0.71103877	0.23160507	0.054570176	0.00278585	1.3006363	2.1512067	4.3412027	0.99999964	0.4371874	0.41194424	0.12753995	0.023328688	2.186595	2.990257	5.009973	1.0000002	0.6490702	0.30782822	0.037901454	0.0052004103	1.3822304	2.0199795	4.734111	1.0000001
random	999	112	112_999_260409215419762	0.28133523	0.41779912	0.2506636	0.050202332	3.0573428	3.9373024	5.8960066	1.0000007	0.18476078	0.68038857	0.09476263	0.04008797	2.320242	3.272846	4.8221126	0.99999994	0.4863879	0.43053073	0.07115615	0.011925243	2.0573254	2.2553515	4.9544134	1.0000001	0.21135493	0.44043308	0.29043195	0.057780158	2.992021	4.287148	5.9304056	1.0	0.5803036	0.34373236	0.057649482	0.018314425	2.3949695	2.2453785	4.619224	1.0	0.31112015	0.46977255	0.2018087	0.017298914	2.273133	3.318056	5.3421907	1.0000004	0.14842041	0.38854462	0.3783062	0.08472935	3.2185802	5.1840982	6.1640053	1.0000006	0.28302166	0.6654254	0.044166435	0.0073867105	1.402356	2.6108813	4.574884	1.0000002
random	999	112	112_999_260409215422312	0.44192487	0.3213077	0.21438982	0.022377979	2.4118593	2.9443774	5.318948	1.0000004	0.07591115	0.80611384	0.074673496	0.04330146	2.1933239	3.370796	4.8192053	1.0	0.1997126	0.5207603	0.25186053	0.027666755	2.5197723	3.738307	5.728233	0.99999994	0.65394133	0.13642009	0.16420853	0.04543038	2.8280833	2.625224	4.859614	1.0000005	0.44289935	0.2509692	0.2821011	0.024030348	2.8092778	3.4466279	5.1544156	1.0	0.65950006	0.26116002	0.07052732	0.00881208	1.7399932	1.9475832	4.74442	0.99999946	0.55963016	0.31484577	0.10239421	0.023129394	2.0965765	2.5449848	5.2640467	0.9999994	0.11425776	0.8394958	0.0332988	0.012948288	1.3618658	2.8347123	4.397812	1.0000006
random	999	112	112_999_260409215424265	0.34157553	0.407925	0.23795669	0.01254298	2.540139	3.4207165	5.624269	1.0000002	0.2756695	0.54457796	0.16374484	0.016008029	2.145684	3.309555	5.510219	1.0000005	0.4131751	0.54439676	0.038655296	0.003772948	1.4581261	2.3652978	4.769457	1.0000001	0.27250558	0.67876667	0.04342923	0.0052984366	1.3244373	2.7507052	4.7730384	0.9999997	0.51607347	0.33184868	0.12524532	0.026832305	2.707073	3.025768	5.0020084	0.9999997	0.36645508	0.5961533	0.032096785	0.0052947956	1.2696663	2.5235229	4.57236	1.0000001	0.4079877	0.50685406	0.074471205	0.0106871445	1.721896	2.6292837	4.7239385	1.0000005	0.38210452	0.3886509	0.21398945	0.0152547965	2.4346032	3.347952	5.736975	0.9999997
random	999	112	112_999_260409215426245	0.2520169	0.5029454	0.2249676	0.020070223	2.2752416	3.9434178	5.5652766	1.0000002	0.488257	0.4477651	0.05379404	0.0101840915	1.8085958	2.568824	5.2847996	1.0000001	0.60460067	0.34783676	0.04357523	0.003986918	1.3805038	2.0974038	4.7548923	0.9999998	0.220869	0.7044074	0.062257074	0.012466367	1.7597868	2.9582553	4.7969995	0.99999994	0.46848273	0.37077916	0.14699407	0.01374412	2.4243412	3.1450298	5.2350554	0.9999999	0.29431504	0.6445167	0.058100984	0.0030675896	1.3901476	2.7236679	4.7405114	1.0000004	0.50043255	0.40535086	0.08649061	0.0077259163	1.8078122	2.6751108	5.298201	0.9999998	0.4701147	0.4952542	0.030325288	0.0043059792	1.4227355	2.4114406	5.1037884	1.0000002
random	999	112	112_999_260409215428846	0.37845725	0.46665666	0.14321183	0.011674216	2.2789967	3.104652	5.3653445	1.0000001	0.39687914	0.5630261	0.030638373	0.00945643	1.3810749	2.4314315	4.740007	0.9999998	0.66908467	0.22751954	0.09450055	0.008895258	1.9276723	2.1459723	4.8465533	1.0000001	0.36017674	0.46602988	0.15717518	0.016617833	2.198216	3.1453974	5.2052565	0.99999964	0.48607802	0.4224486	0.08261383	0.008859372	2.0877721	2.45231	4.675793	0.9999998	0.48415968	0.40817413	0.10303624	0.0046300967	1.7245876	2.605432	4.8096166	0.99999994	0.32778266	0.41038117	0.24771774	0.014118536	2.499516	3.5142982	5.840563	1.0000001	0.5110895	0.47561422	0.011575471	0.0017207828	0.9051033	2.1355846	4.4080157	0.9999998
random	999	112	112_999_260409215431182	0.37898797	0.45742434	0.11590847	0.047678854	2.741543	3.0342052	5.321162	0.9999998	0.58408785	0.3321769	0.079956025	0.00377918	1.8109792	2.4440444	5.248101	0.9999998	0.47321236	0.4602697	0.05636501	0.010152794	1.7268969	2.3285162	5.014043	0.99999994	0.5530984	0.3680891	0.05338051	0.025431782	2.248761	2.5993192	5.2300177	0.99999976	0.5704379	0.35915247	0.062105395	0.008304177	1.9859834	2.346234	5.0702806	0.99999994	0.5973028	0.355036	0.03898263	0.00867857	1.5952759	2.3130085	4.7810297	0.9999999	0.5782309	0.36425418	0.049868528	0.0076463204	1.7979244	2.0762818	4.854259	1.0000001	0.72605383	0.22908062	0.04310078	0.0017643886	1.4013244	2.0498135	4.7406263	0.9999999
random	999	112	112_999_260409215433289	0.2519431	0.50533354	0.2241726	0.018550636	2.3480384	3.6641574	5.6818166	0.9999999	0.12549262	0.8259925	0.04044981	0.008064846	1.3079838	2.8877861	4.674232	0.99999994	0.52178824	0.32608598	0.13677754	0.015348355	2.3431058	2.6631646	5.191155	1.0000005	0.34044713	0.47494575	0.16793898	0.016668169	2.3150828	3.3712816	5.547457	1.0	0.4792322	0.33802	0.15572439	0.027023735	2.6304727	3.0443268	5.418643	1.0000002	0.3862732	0.4767588	0.1275849	0.009383058	2.042636	2.9924448	5.2897825	0.9999999	0.5069043	0.2930389	0.17249328	0.027563322	2.4971745	3.253588	5.6107907	0.99999976	0.21300144	0.7711952	0.014563768	0.0012393917	0.9736841	2.6186237	4.702555	0.9999998
random	999	112	112_999_260409215437618	0.47947788	0.40020517	0.09832747	0.02198931	2.3659842	2.8203444	5.4066815	0.99999976	0.61644083	0.23585345	0.10552769	0.042177964	2.7735088	2.6171997	5.2867746	1.0	0.800433	0.15321906	0.04135062	0.0049976315	1.5667154	1.541898	4.4177866	1.0	0.65230703	0.26366478	0.06945701	0.014571241	1.9750674	2.323973	5.081941	0.99999994	0.5987588	0.29100144	0.10618763	0.0040526004	1.9710834	2.0757315	4.8056617	1.0000005	0.6005065	0.33322614	0.061188154	0.0050795665	1.5701476	2.3277004	4.858855	1.0000004	0.69699866	0.2405379	0.056181055	0.0062824944	1.7684994	2.156602	4.9568853	0.99999994	0.75868136	0.15128258	0.07619505	0.01384119	2.1284676	1.9320186	4.899357	0.99999964
