label	sub_label	user	file_id	acc_magnitude_kurtosis	acc_magnitude_rms	acc_magnitude_sma	acc_magnitude_std	acc_magnitude_wl	acc_magnitude_zcr	acc_x_kurtosis	acc_x_rms	acc_x_sma	acc_x_std	acc_x_wl	acc_x_zcr	acc_y_kurtosis	acc_y_rms	acc_y_sma	acc_y_std	acc_y_wl	acc_y_zcr	acc_z_kurtosis	acc_z_rms	acc_z_sma	acc_z_std	acc_z_wl	acc_z_zcr	gyro_magnitude_kurtosis	gyro_magnitude_rms	gyro_magnitude_sma	gyro_magnitude_std	gyro_magnitude_wl	gyro_magnitude_zcr	gyro_x_kurtosis	gyro_x_rms	gyro_x_sma	gyro_x_std	gyro_x_wl	gyro_x_zcr	gyro_y_kurtosis	gyro_y_rms	gyro_y_sma	gyro_y_std	gyro_y_wl	gyro_y_zcr	gyro_z_kurtosis	gyro_z_rms	gyro_z_sma	gyro_z_std	gyro_z_wl	gyro_z_zcr
rotate	10103	2	2_10103_251218152945677	1.7275985080572278	10.040932179706308	1528.199211272049	1.531997740007832	81.09679993856366	0.0	0.2297750788534616	4.287481079041103	463.090143698	3.203344278662221	96.00123954	0.0389610389610389	1.32125813768939	1.7463986513143943	176.348635619	1.5460071865590126	57.006607505000005	0.0779220779220779	-0.5691523474441618	8.90998971856946	1301.50768576	7.953243427667513	112.7336551	0.0259740259740259	-1.0635758871837355	5.669411732177393	578.1448433385256	4.248329924508116	90.59888664606518	0.0	0.168748316744888	2.9566611703008685	296.9986380596	2.956600036422517	52.9193694332	0.1428571428571428	0.2379709363829563	4.617654012925449	462.082402359	4.617015383197338	81.48187863999999	0.1103896103896103	0.3295324757723956	1.441407482254497	147.7793383472	1.438017931477832	28.168501616	0.0909090909090909
random	999	840	840_999_260116102732118	3.86742135215026	10.01390331553779	1653.579676621581	2.131176835527612	94.02502093339687	0.0	-0.1801241301812175	5.250313265660143	784.2422357500001	2.7262614959333984	76.06843328000001	0.0118343195266272	0.8688528046024109	4.806198570602421	753.307226159	3.584563674805569	69.25606332000001	0.0118343195266272	-0.9381338743426428	7.043644335520579	1051.48702884	6.384346056412979	113.5687423	0.0236686390532544	2.5568497716918044	3.4718666110993945	462.8526152119392	2.1126805273663174	51.490619526969446	0.0	1.3465903968171125	2.513894442517019	286.5363576991	2.50772853336048	49.498831216	0.0714285714285714	1.6676248738210733	1.8375244807560616	216.126249677	1.6065777137789896	36.01414522	0.0476190476190476	-0.1278281624546724	1.5354791694357202	191.0310081794	1.456535803445064	30.26117189	0.0654761904761904
rotate	10103	6	6_10103_251217180241919	2.122930912571399	10.867921750614736	1443.435377559087	2.665315679947553	162.31451349601474	0.0	1.1909914322523385	2.71782978366625	325.425671836	1.92855438617131	101.29356325999998	0.0875912408759124	-0.3835596720895569	2.939907870623045	364.83247038	1.2455649823562194	49.869414940000006	0.0	-1.5472985474187233	10.103567001646011	1324.5445816299998	9.97026416235523	188.4730692	0.0291970802919708	-0.1518381326962234	7.656279819393262	641.6356800895699	6.029921346834972	151.03469653101632	0.0	0.9379710436716168	3.9341053523579927	337.35358448750003	3.933587362594755	84.53116272759999	0.1397058823529411	1.1305575022695455	6.53960966866925	529.2376677088	6.539262545959222	140.5343285486	0.1470588235294117	2.2790737325240347	0.6123243673449321	52.47924048840001	0.5890148479201329	24.0433323022	0.1911764705882352
shake	10203	6	6_10203_251218173803313	1.91978682772295	10.592987415239678	1685.6254378780875	1.1053540173079033	53.53137672920989	0.0	0.7471537038969305	3.6638045772324994	499.622565199	3.0646930004445765	77.9647443	0.025	0.0954563984144121	2.235744148068561	298.571026231	1.3786552082609742	33.47140214	0.025	4.138184800047729	9.68449102966457	1545.2208636	0.7207923480015147	45.93441679999999	0.0	-1.026485105772366	1.1376530442633117	123.05539620053104	0.8338355243481806	19.884509336314583	0.0	3.2409448122324847	0.2158893200229912	22.4770751289	0.2151466517166776	11.8009914104	0.2264150943396226	3.977435818574051	0.24014025282163	23.508825478700004	0.2382845782841583	15.183349345	0.2389937106918239	0.1238344539334379	1.090861544650078	113.9946975212	1.0907363279776354	20.1774740004	0.1132075471698113
shake	10202	12504773	12504773_10202_260116135112143	0.0993906660232246	14.248087748847048	2248.7017652063105	4.88326850583491	140.5634726313561	0.0	0.6602167280174713	8.554266848100887	902.167716602	8.48338870526656	206.140474188	0.0595238095238095	0.8348423706322148	5.1158842778957	649.683648241	5.053853344469904	130.0672577	0.0357142857142857	2.2752606896449263	10.181367847470543	1694.7890265	1.3754648617458407	100.01220979999998	0.0	0.0657591612260573	2.95001045081878	297.02096277626725	2.353562247946314	57.02590099475457	0.0	2.3757856606426024	0.3938323023841975	41.17870031006	0.3749943454193617	21.258705186200004	0.1736526946107784	4.347251364519267	0.6412980859087009	63.9595278891	0.6402743642163833	29.3441113828	0.2215568862275449	1.4229975483470794	2.852401539501166	272.35360550650006	2.852400407436479	58.6445466072	0.1437125748502994
random	999	6	6_999_260121144212816	-0.2708382616157827	14.155115469353836	2175.4339203045224	6.05082868746204	302.16042340594424	0.0	1.1443815514089852	7.216302514933555	943.369130505	6.969005655436409	274.99335334	0.1058823529411764	-1.030732999579386	5.787433918637156	847.49590696	5.736719701357013	176.05491877999998	0.0529411764705882	0.5511973477882464	10.71437728480345	1512.2017018299998	9.713555762770692	289.614692	0.0411764705882352	0.353582574166853	6.535630693328624	995.99777594695	2.75075741305209	128.91911497835778	0.0	0.0074954001319538	4.21237237991533	564.958137954	4.206913170985203	102.56648810000002	0.0535714285714285	0.0197835525067073	3.8002206978750808	501.248145786	3.770161198314593	121.06759438	0.0773809523809523	-0.2731074044873831	3.244797395824196	458.0468741926	3.097574755815083	78.93090760000001	0.0595238095238095
random	999	840	840_999_260126163712990	1.9707825207696728	10.076907020627564	1675.1969811348335	1.813344789663764	68.42706741404314	0.0	-0.0672694512438267	4.09364951186135	622.663298159	2.867710733156187	59.16493489599999	0.0059171597633136	0.3982330567809327	5.41851389803051	837.22651064	3.094883935742986	45.29613500000001	0.0118343195266272	-1.41254432901425	7.444850294885764	1107.303801421	7.212182346473577	93.3404271	0.0177514792899408	-0.887611560841937	3.327931535562084	467.0049675432357	1.829723386034888	41.31537026572143	0.0	-0.5445885645418587	3.0513479706991458	417.1879627732	3.042459139855251	40.42168613300001	0.0178571428571428	-0.0152891925654801	0.9882446820433256	134.77616567799998	0.9849444477603796	26.739232218000005	0.0416666666666666	0.2461002514254682	0.8875676399643592	109.8843418565	0.83620387954486	18.130466604	0.0416666666666666
shake	10202	840	840_10202_260116095356476	-0.1010167759551374	10.964888936688787	1848.8173130969576	0.7421023479589256	50.62026508968852	0.0	-0.9454332596026528	3.6554959357188417	510.6026285263	3.62326562420815	81.6167878274	0.0473372781065088	-1.2889501158594627	3.239154395855668	463.087153946	2.46653088047699	41.88695937999999	0.0355029585798816	0.7377091954358881	9.817026925585573	1656.6593790000002	0.5298425972245718	41.746971	0.0	-1.3994725421689265	1.8708244119902164	243.3732830918087	1.1838056111586943	27.99848699061201	0.0	-0.1869961482777888	0.1305033399276485	16.93072821256	0.1289375883054551	7.3343479484	0.1369047619047619	0.0720944410571235	0.2540394043038358	30.80148204156	0.2539996635913279	7.07656296448	0.0654761904761904	-0.6989595726109696	1.8488961138547564	238.9673997206	1.848893544248022	28.716141971	0.0535714285714285
random	999	2	2_999_260114164042704	-0.2181076097922769	9.910091281964569	1601.0415097588707	0.7326445802397317	27.726630720013457	0.0	-0.8022100963394196	1.0835057916243938	151.008046332	0.7788824428009584	24.57847615	0.037037037037037	-0.5510740598184096	6.680906173886056	1077.7297124000002	0.613776352378764	17.84567	0.0	0.3073943933832406	7.238882310972991	1153.6079151	1.3008674387369177	36.023949300000005	0.0	-0.5051851851513938	0.5475537939881847	82.11887226174719	0.1991455370173102	6.716837269114645	0.0	-0.6771330064907373	0.4089811274367135	55.915355084	0.4083785323664652	7.90489552	0.0372670807453416	-0.9562484003550766	0.2229683743541144	29.4829304362	0.2149615792119404	6.1940163176	0.0496894409937888	-0.8421503746652035	0.2878101783282407	38.0907788694	0.2854627345043094	5.4712105364	0.0559006211180124
random	999	2	2_999_260124142116330	0.3292582301579561	10.017223774095251	1616.0987420663546	0.9087513341153468	61.547611106876346	0.0	0.2511056399843521	1.2461140553082617	159.1436434219	1.2383005924187984	44.985663628	0.0925925925925925	-0.8503835592112794	5.478298928555829	866.0923215	1.1955675930977974	46.1425908	0.0	-0.9196344210985988	8.29338367319675	1328.0201597	1.2564474608602387	75.92785570000001	0.0	0.9352631046475026	0.826880507829777	119.63957775647845	0.3626697589036958	16.792493777441756	0.0	0.6889165940215323	0.3725540061973286	46.5178112254	0.3699737963856037	16.4678456412	0.1180124223602484	-0.7014404054328769	0.4564472773675692	61.6814604855	0.3083387810922219	18.3108245025	0.0683229813664596	-0.3816395739896525	0.5801644333108366	73.37341227959999	0.3785568833236788	12.86740836	0.0869565217391304
